date,location,vaccine,total_vaccinations
2021-09-12,Lithuania,Moderna,646
2021-09-13,Lithuania,Moderna,646
2021-09-14,Lithuania,Moderna,646
2021-09-15,Lithuania,Moderna,646
2021-09-16,Lithuania,Moderna,646
2021-09-17,Lithuania,Moderna,485
2021-09-18,Lithuania,Moderna,485
2021-09-19,Lithuania,Moderna,485
2021-09-20,Lithuania,Moderna,485
2021-09-21,Lithuania,Moderna,485
2021-09-22,Lithuania,Moderna,485
2021-09-23,Lithuania,Moderna,485
2021-09-24,Lithuania,Moderna,431
2021-09-25,Lithuania,Moderna,431
2021-09-26,Lithuania,Moderna,431
2021-09-27,Lithuania,Moderna,431
2021-09-28,Lithuania,Moderna,431
2021-09-29,Lithuania,Moderna,431
2021-09-30,Lithuania,Moderna,431
2021-10-01,Lithuania,Moderna,383
2021-10-02,Lithuania,Moderna,383
2021-10-03,Lithuania,Moderna,383
2021-10-04,Lithuania,Moderna,383
2021-10-05,Lithuania,Moderna,383
2021-10-06,Lithuania,Moderna,383
2021-10-07,Lithuania,Moderna,383
2021-10-08,Lithuania,Moderna,338
2021-10-09,Lithuania,Moderna,338
2021-10-10,Lithuania,Moderna,338
2021-10-11,Lithuania,Moderna,338
2021-10-12,Lithuania,Moderna,338
2021-10-13,Lithuania,Moderna,338
2021-10-14,Lithuania,Moderna,338
2021-10-15,Lithuania,Moderna,193
2021-10-16,Lithuania,Moderna,193
2021-10-17,Lithuania,Moderna,193
2021-10-18,Lithuania,Moderna,193
2021-10-19,Lithuania,Moderna,193
2021-10-20,Lithuania,Moderna,193
2021-10-21,Lithuania,Moderna,193
2021-10-22,Lithuania,Moderna,160
2021-10-23,Lithuania,Moderna,160
2021-10-24,Lithuania,Moderna,160
2021-10-25,Lithuania,Moderna,160
2021-10-26,Lithuania,Moderna,160
2021-10-27,Lithuania,Moderna,160
2021-10-28,Lithuania,Moderna,160
2021-10-29,Lithuania,Moderna,107
2021-10-30,Lithuania,Moderna,107
2021-10-31,Lithuania,Moderna,107
2021-11-01,Lithuania,Moderna,107
2021-11-02,Lithuania,Moderna,107
2021-11-03,Lithuania,Moderna,107
2021-11-04,Lithuania,Moderna,107
2021-11-05,Lithuania,Moderna,89
2021-11-06,Lithuania,Moderna,89
2021-11-07,Lithuania,Moderna,89
2021-11-08,Lithuania,Moderna,89
2021-11-09,Lithuania,Moderna,89
2021-11-10,Lithuania,Moderna,89
2021-11-11,Lithuania,Moderna,89
2021-11-12,Lithuania,Moderna,220
2021-11-13,Lithuania,Moderna,220
2021-11-14,Lithuania,Moderna,220
2021-11-15,Lithuania,Moderna,220
2021-11-16,Lithuania,Moderna,220
2021-11-17,Lithuania,Moderna,220
2021-11-18,Lithuania,Moderna,220
2021-11-19,Lithuania,Moderna,520
2021-11-20,Lithuania,Moderna,520
2021-11-21,Lithuania,Moderna,520
2021-11-22,Lithuania,Moderna,520
2021-11-23,Lithuania,Moderna,520
2021-11-24,Lithuania,Moderna,520
2021-11-25,Lithuania,Moderna,520
2021-11-26,Lithuania,Moderna,515
2021-11-27,Lithuania,Moderna,515
2021-11-28,Lithuania,Moderna,515
2021-11-29,Lithuania,Moderna,515
2021-11-30,Lithuania,Moderna,515
2021-12-01,Lithuania,Moderna,515
2021-12-02,Lithuania,Moderna,515
2021-12-03,Lithuania,Moderna,673
2021-12-04,Lithuania,Moderna,673
2021-12-05,Lithuania,Moderna,673
2021-12-06,Lithuania,Moderna,673
2021-12-07,Lithuania,Moderna,673
2021-12-08,Lithuania,Moderna,673
2021-12-09,Lithuania,Moderna,673
2021-12-10,Lithuania,Moderna,827
2021-12-11,Lithuania,Moderna,827
2021-12-12,Lithuania,Moderna,827
2021-12-13,Lithuania,Moderna,827
2021-12-14,Lithuania,Moderna,827
2021-12-15,Lithuania,Moderna,827
2021-12-16,Lithuania,Moderna,827
2021-12-17,Lithuania,Moderna,612
2021-12-18,Lithuania,Moderna,612
2021-12-19,Lithuania,Moderna,612
2021-12-20,Lithuania,Moderna,612
2021-12-21,Lithuania,Moderna,612
2021-12-22,Lithuania,Moderna,612
2021-12-23,Lithuania,Moderna,612
2021-12-24,Lithuania,Moderna,909
2021-12-25,Lithuania,Moderna,909
2021-12-26,Lithuania,Moderna,909
2021-12-27,Lithuania,Moderna,909
2021-12-28,Lithuania,Moderna,909
2021-12-29,Lithuania,Moderna,909
2021-12-30,Lithuania,Moderna,909
2021-12-31,Lithuania,Moderna,1222
