date,location,vaccine,total_vaccinations
2021-05-28,Malta,Oxford/AstraZeneca,834
2021-05-28,Malta,Moderna,283
2021-05-29,Malta,Oxford/AstraZeneca,834
2021-05-29,Malta,Moderna,283
2021-05-30,Malta,Oxford/AstraZeneca,834
2021-05-30,Malta,Moderna,283
2021-05-31,Malta,Oxford/AstraZeneca,834
2021-05-31,Malta,Moderna,283
2021-06-01,Malta,Oxford/AstraZeneca,834
2021-06-01,Malta,Moderna,283
2021-06-02,Malta,Oxford/AstraZeneca,834
2021-06-02,Malta,Moderna,283
2021-06-03,Malta,Oxford/AstraZeneca,834
2021-06-03,Malta,Moderna,283
2021-06-04,Malta,Oxford/AstraZeneca,1605
2021-06-04,Malta,Moderna,340
2021-06-05,Malta,Oxford/AstraZeneca,1605
2021-06-05,Malta,Moderna,340
2021-06-06,Malta,Oxford/AstraZeneca,1605
2021-06-06,Malta,Moderna,340
2021-06-07,Malta,Oxford/AstraZeneca,1605
2021-06-07,Malta,Moderna,340
2021-06-08,Malta,Oxford/AstraZeneca,1605
2021-06-08,Malta,Moderna,340
2021-06-09,Malta,Oxford/AstraZeneca,1605
2021-06-09,Malta,Moderna,340
2021-06-10,Malta,Oxford/AstraZeneca,1605
2021-06-10,Malta,Moderna,340
2021-06-11,Malta,Oxford/AstraZeneca,1515
2021-06-11,Malta,Moderna,364
2021-06-12,Malta,Oxford/AstraZeneca,1515
2021-06-12,Malta,Moderna,364
2021-06-13,Malta,Oxford/AstraZeneca,1515
2021-06-13,Malta,Moderna,364
2021-06-14,Malta,Oxford/AstraZeneca,1515
2021-06-14,Malta,Moderna,364
2021-06-15,Malta,Oxford/AstraZeneca,1515
2021-06-15,Malta,Moderna,364
2021-06-16,Malta,Oxford/AstraZeneca,1515
2021-06-16,Malta,Moderna,364
2021-06-17,Malta,Oxford/AstraZeneca,1515
2021-06-17,Malta,Moderna,364
2021-06-18,Malta,Oxford/AstraZeneca,1276
2021-06-18,Malta,Moderna,501
2021-06-19,Malta,Oxford/AstraZeneca,1276
2021-06-19,Malta,Moderna,501
2021-06-20,Malta,Oxford/AstraZeneca,1276
2021-06-20,Malta,Moderna,501
2021-06-21,Malta,Oxford/AstraZeneca,1276
2021-06-21,Malta,Moderna,501
2021-06-22,Malta,Oxford/AstraZeneca,1276
2021-06-22,Malta,Moderna,501
2021-06-23,Malta,Oxford/AstraZeneca,1276
2021-06-23,Malta,Moderna,501
2021-06-24,Malta,Oxford/AstraZeneca,1276
2021-06-24,Malta,Moderna,501
2021-06-25,Malta,Oxford/AstraZeneca,1726
2021-06-25,Malta,Moderna,134
