date,location,vaccine,total_vaccinations
2021-06-22,Norway,Oxford/AstraZeneca,51
2021-06-23,Norway,Moderna,5895
2021-06-23,Norway,Oxford/AstraZeneca,51
2021-06-24,Norway,Moderna,5895
2021-06-24,Norway,Oxford/AstraZeneca,51
2021-06-25,Norway,Moderna,5695
2021-06-25,Norway,Oxford/AstraZeneca,47
2021-06-26,Norway,Moderna,5695
2021-06-26,Norway,Oxford/AstraZeneca,47
2021-06-27,Norway,Moderna,5695
2021-06-27,Norway,Oxford/AstraZeneca,47
2021-06-28,Norway,Moderna,5695
2021-06-28,Norway,Oxford/AstraZeneca,47
2021-06-29,Norway,Moderna,5695
2021-06-29,Norway,Oxford/AstraZeneca,47
2021-06-30,Norway,Moderna,5695
2021-06-30,Norway,Oxford/AstraZeneca,47
2021-07-01,Norway,Moderna,5695
2021-07-01,Norway,Oxford/AstraZeneca,47
2021-07-02,Norway,Moderna,5183
2021-07-02,Norway,Oxford/AstraZeneca,33
2021-07-03,Norway,Moderna,5183
2021-07-03,Norway,Oxford/AstraZeneca,33
2021-07-04,Norway,Moderna,5183
2021-07-04,Norway,Oxford/AstraZeneca,33
2021-07-05,Norway,Moderna,5183
2021-07-05,Norway,Oxford/AstraZeneca,33
2021-07-06,Norway,Moderna,5183
2021-07-06,Norway,Oxford/AstraZeneca,33
2021-07-07,Norway,Moderna,5183
2021-07-07,Norway,Oxford/AstraZeneca,33
2021-07-08,Norway,Moderna,5183
2021-07-08,Norway,Oxford/AstraZeneca,33
2021-07-09,Norway,Moderna,2933
2021-07-09,Norway,Oxford/AstraZeneca,25
2021-07-10,Norway,Moderna,2933
2021-07-10,Norway,Oxford/AstraZeneca,25
2021-07-11,Norway,Moderna,2933
2021-07-11,Norway,Oxford/AstraZeneca,25
2021-07-12,Norway,Moderna,2933
2021-07-12,Norway,Oxford/AstraZeneca,25
2021-07-13,Norway,Moderna,2933
2021-07-13,Norway,Oxford/AstraZeneca,25
2021-07-14,Norway,Moderna,2933
2021-07-14,Norway,Oxford/AstraZeneca,25
2021-07-15,Norway,Moderna,2933
2021-07-15,Norway,Oxford/AstraZeneca,25
2021-07-16,Norway,Moderna,5655
2021-07-16,Norway,Oxford/AstraZeneca,26
2021-07-17,Norway,Moderna,5655
2021-07-17,Norway,Oxford/AstraZeneca,26
2021-07-18,Norway,Moderna,5655
2021-07-18,Norway,Oxford/AstraZeneca,26
2021-07-19,Norway,Moderna,5655
2021-07-19,Norway,Oxford/AstraZeneca,26
2021-07-20,Norway,Moderna,5655
2021-07-20,Norway,Oxford/AstraZeneca,26
2021-07-21,Norway,Moderna,5655
2021-07-21,Norway,Oxford/AstraZeneca,26
2021-07-22,Norway,Moderna,5655
2021-07-22,Norway,Oxford/AstraZeneca,26
2021-07-23,Norway,Moderna,5663
2021-07-23,Norway,Oxford/AstraZeneca,20
2021-07-24,Norway,Moderna,5663
2021-07-24,Norway,Oxford/AstraZeneca,20
2021-07-25,Norway,Moderna,5663
2021-07-25,Norway,Oxford/AstraZeneca,20
2021-07-26,Norway,Moderna,5663
2021-07-26,Norway,Oxford/AstraZeneca,20
2021-07-27,Norway,Moderna,5663
2021-07-27,Norway,Oxford/AstraZeneca,20
2021-07-28,Norway,Moderna,5663
2021-07-28,Norway,Oxford/AstraZeneca,20
2021-07-29,Norway,Moderna,5663
2021-07-29,Norway,Oxford/AstraZeneca,20
2021-07-30,Norway,Moderna,9154
2021-07-30,Norway,Oxford/AstraZeneca,17
2021-07-31,Norway,Moderna,9154
2021-07-31,Norway,Oxford/AstraZeneca,17
2021-08-01,Norway,Moderna,9154
2021-08-01,Norway,Oxford/AstraZeneca,17
2021-08-02,Norway,Moderna,9154
2021-08-02,Norway,Oxford/AstraZeneca,17
2021-08-03,Norway,Moderna,9154
2021-08-03,Norway,Oxford/AstraZeneca,17
2021-08-04,Norway,Moderna,9154
2021-08-04,Norway,Oxford/AstraZeneca,17
2021-08-05,Norway,Moderna,9154
2021-08-05,Norway,Oxford/AstraZeneca,17
2021-08-06,Norway,Moderna,12872
2021-08-06,Norway,Oxford/AstraZeneca,15
2021-08-07,Norway,Moderna,12872
2021-08-07,Norway,Oxford/AstraZeneca,15
2021-08-08,Norway,Moderna,12872
2021-08-08,Norway,Oxford/AstraZeneca,15
2021-08-09,Norway,Moderna,12872
2021-08-09,Norway,Oxford/AstraZeneca,15
2021-08-10,Norway,Moderna,12872
2021-08-10,Norway,Oxford/AstraZeneca,15
2021-08-11,Norway,Moderna,12872
2021-08-11,Norway,Oxford/AstraZeneca,15
2021-08-12,Norway,Moderna,12872
2021-08-12,Norway,Oxford/AstraZeneca,15
2021-08-13,Norway,Moderna,10596
2021-08-13,Norway,Oxford/AstraZeneca,13
2021-08-14,Norway,Moderna,10596
2021-08-14,Norway,Oxford/AstraZeneca,13
2021-08-15,Norway,Moderna,10596
2021-08-15,Norway,Oxford/AstraZeneca,13
2021-08-16,Norway,Moderna,10596
2021-08-16,Norway,Oxford/AstraZeneca,13
2021-08-17,Norway,Moderna,10596
2021-08-17,Norway,Oxford/AstraZeneca,13
2021-08-18,Norway,Moderna,10596
2021-08-18,Norway,Oxford/AstraZeneca,13
2021-08-19,Norway,Moderna,10596
