date,location,vaccine,total_vaccinations
2021-03-14,Italy,Pfizer/BioNTech,113423
2021-03-14,Italy,Johnson&Johnson,10
2021-03-14,Italy,Oxford/AstraZeneca,51309
2021-03-15,Italy,Pfizer/BioNTech,128759
2021-03-15,Italy,Johnson&Johnson,17
2021-03-15,Italy,Oxford/AstraZeneca,194
2021-03-16,Italy,Pfizer/BioNTech,154578
2021-03-16,Italy,Johnson&Johnson,27
2021-03-16,Italy,Oxford/AstraZeneca,40
2021-03-17,Italy,Pfizer/BioNTech,151019
2021-03-17,Italy,Johnson&Johnson,20
2021-03-17,Italy,Oxford/AstraZeneca,97
2021-03-18,Italy,Pfizer/BioNTech,146450
2021-03-18,Italy,Johnson&Johnson,13
2021-03-18,Italy,Oxford/AstraZeneca,18687
2021-03-19,Italy,Pfizer/BioNTech,112694
2021-03-19,Italy,Johnson&Johnson,5
2021-03-19,Italy,Oxford/AstraZeneca,51404
2021-03-20,Italy,Pfizer/BioNTech,76336
2021-03-20,Italy,Johnson&Johnson,3
2021-03-20,Italy,Oxford/AstraZeneca,44875
2021-03-21,Italy,Pfizer/BioNTech,113554
2021-03-21,Italy,Johnson&Johnson,4
2021-03-21,Italy,Oxford/AstraZeneca,71393
2021-03-22,Italy,Pfizer/BioNTech,132638
2021-03-22,Italy,Johnson&Johnson,4
2021-03-22,Italy,Oxford/AstraZeneca,81108
2021-03-23,Italy,Pfizer/BioNTech,164839
2021-03-23,Italy,Johnson&Johnson,2
2021-03-23,Italy,Oxford/AstraZeneca,78073
2021-03-24,Italy,Pfizer/BioNTech,170217
2021-03-24,Italy,Johnson&Johnson,3
2021-03-24,Italy,Oxford/AstraZeneca,83371
2021-03-25,Italy,Pfizer/BioNTech,169119
2021-03-25,Italy,Johnson&Johnson,6
2021-03-25,Italy,Oxford/AstraZeneca,84207
2021-03-26,Italy,Pfizer/BioNTech,144336
2021-03-26,Italy,Johnson&Johnson,5
2021-03-26,Italy,Oxford/AstraZeneca,68263
2021-03-27,Italy,Pfizer/BioNTech,90678
2021-03-27,Italy,Johnson&Johnson,1
2021-03-27,Italy,Oxford/AstraZeneca,55769
2021-03-28,Italy,Pfizer/BioNTech,145897
2021-03-28,Italy,Johnson&Johnson,1
2021-03-28,Italy,Oxford/AstraZeneca,73900
2021-03-29,Italy,Pfizer/BioNTech,166405
2021-03-29,Italy,Johnson&Johnson,1
2021-03-29,Italy,Oxford/AstraZeneca,75442
2021-03-30,Italy,Pfizer/BioNTech,211373
2021-03-30,Italy,Johnson&Johnson,18
2021-03-30,Italy,Oxford/AstraZeneca,72689
2021-03-31,Italy,Pfizer/BioNTech,207334
2021-03-31,Italy,Johnson&Johnson,8
2021-03-31,Italy,Oxford/AstraZeneca,56439
2021-04-01,Italy,Pfizer/BioNTech,186240
2021-04-01,Italy,Johnson&Johnson,3
2021-04-01,Italy,Oxford/AstraZeneca,67142
2021-04-02,Italy,Pfizer/BioNTech,147010
2021-04-02,Italy,Johnson&Johnson,2
2021-04-02,Italy,Oxford/AstraZeneca,47554
2021-04-03,Italy,Pfizer/BioNTech,45936
2021-04-03,Italy,Johnson&Johnson,4
2021-04-03,Italy,Oxford/AstraZeneca,38446
2021-04-04,Italy,Pfizer/BioNTech,91880
2021-04-04,Italy,Johnson&Johnson,4
2021-04-04,Italy,Oxford/AstraZeneca,59356
2021-04-05,Italy,Pfizer/BioNTech,160554
2021-04-05,Italy,Johnson&Johnson,57
2021-04-05,Italy,Oxford/AstraZeneca,85832
2021-04-06,Italy,Pfizer/BioNTech,221695
2021-04-06,Italy,Johnson&Johnson,7
2021-04-06,Italy,Oxford/AstraZeneca,83483
2021-04-07,Italy,Pfizer/BioNTech,247437
2021-04-07,Italy,Johnson&Johnson,9
2021-04-07,Italy,Oxford/AstraZeneca,58283
2021-04-08,Italy,Pfizer/BioNTech,247315
2021-04-08,Italy,Johnson&Johnson,29
2021-04-08,Italy,Oxford/AstraZeneca,53404
